time,year,month,day,mb,dmdt,time,jt
2009-07-15,2009.0,7.0,15.0,-195.45084281513522,-5.062149561767001,2009-07-15,2009.535519125683
2009-08-15,2009.0,8.0,15.0,-223.64644743348722,-28.195604618352007,2009-08-15,2009.620218579235
2009-09-15,2009.0,9.0,15.0,-261.2477124885352,-37.601265055048,2009-09-15,2009.704918032787
2009-10-15,2009.0,10.0,15.0,-268.4741060076312,-7.226393519095978,2009-10-15,2009.7868852459017
2009-11-15,2009.0,11.0,15.0,-266.3608874054122,2.1132186022189785,2009-11-15,2009.8715846994535
2009-12-15,2009.0,12.0,15.0,-261.58415413096424,4.776733274447963,2009-12-15,2009.9535519125684
2010-01-15,2010.0,1.0,15.0,-246.6982646917328,14.885889439231462,2010-01-15,2010.0409836065573
2010-02-15,2010.0,2.0,15.0,-231.13661273801577,15.561651953717018,2010-02-15,2010.1256830601094
2010-03-15,2010.0,3.0,15.0,-222.90264024939978,8.23397248861599,2010-03-15,2010.2021857923498
2010-04-15,2010.0,4.0,15.0,-225.88445561329178,-2.9818153638919966,2010-04-15,2010.2868852459017
2010-05-15,2010.0,5.0,15.0,-219.64061626288478,6.243839350407001,2010-05-15,2010.3688524590164
2010-06-15,2010.0,6.0,15.0,-217.84468657420476,1.795929688680019,2010-06-15,2010.4535519125684
2010-07-15,2010.0,7.0,15.0,-217.74266771286779,0.1020188613369725,2010-07-15,2010.535519125683
2010-08-15,2010.0,8.0,15.0,-274.67466046038476,-56.931992747517,2010-08-15,2010.620218579235
2010-09-15,2010.0,9.0,15.0,-285.5629042980987,-10.888243837713986,2010-09-15,2010.704918032787
2010-10-15,2010.0,10.0,15.0,-297.9908717109307,-12.427967412832004,2010-10-15,2010.7868852459017
2010-11-15,2010.0,11.0,15.0,-308.60445965916074,-10.61358794823002,2010-11-15,2010.8715846994535
2010-12-15,2010.0,12.0,15.0,-303.8277263847128,4.776733274447963,2010-12-15,2010.9535519125684
2011-01-15,2011.0,1.0,15.0,-300.8239541011284,3.0037722835843823,2011-01-15,2011.0409836065573
2011-02-15,2011.0,2.0,15.0,-296.79864858056135,4.025305520567002,2011-02-15,2011.1256830601094
2011-03-15,2011.0,3.0,15.0,-287.4491192747373,9.349529305824008,2011-03-15,2011.2021857923498
2011-04-15,2011.0,4.0,15.0,-272.43339424579335,15.01572502894399,2011-04-15,2011.2868852459017
2011-05-15,2011.0,5.0,15.0,-280.12555983384135,-7.692165588047998,2011-05-15,2011.3688524590164
2011-06-15,2011.0,6.0,15.0,-274.01396901863535,6.111590815206,2011-06-15,2011.4535519125684
2011-07-15,2011.0,7.0,15.0,-303.28446165586024,-29.2704926372249,2011-07-15,2011.535519125683
2011-08-15,2011.0,8.0,15.0,-369.9556924101522,-66.671230754292,2011-08-15,2011.620218579235
2011-09-15,2011.0,9.0,15.0,-421.8534907887142,-51.897798378562015,2011-09-15,2011.704918032787
2011-10-15,2011.0,10.0,15.0,-430.5419676323142,-8.688476843599972,2011-10-15,2011.7868852459017
2011-11-15,2011.0,11.0,15.0,-409.1045112775052,21.437456354809,2011-11-15,2011.8715846994535
2011-12-15,2011.0,12.0,15.0,-404.32777800305723,4.776733274447963,2011-12-15,2011.9535519125684
2012-01-15,2012.0,1.0,15.0,-389.4418885638258,14.885889439231462,2012-01-15,2012.0409836065573
2012-02-15,2012.0,2.0,15.0,-390.88883274445476,-1.4469441806289751,2012-02-15,2012.1256830601094
2012-03-15,2012.0,3.0,15.0,-378.48348935506374,12.40534338939102,2012-03-15,2012.204918032787
2012-04-15,2012.0,4.0,15.0,-385.62962249163076,-7.146133136567016,2012-04-15,2012.2896174863388
2012-05-15,2012.0,5.0,15.0,-378.2040730068078,7.425549484822966,2012-05-15,2012.3715846994535
2012-06-15,2012.0,6.0,15.0,-373.0133297687435,5.190743238064251,2012-06-15,2012.4562841530055
2012-07-15,2012.0,7.0,15.0,-370.1559240104815,2.8574057582620185,2012-07-15,2012.5382513661202
2012-08-15,2012.0,8.0,15.0,-403.6575224687611,-33.50159845827961,2012-08-15,2012.622950819672
2012-09-15,2012.0,9.0,15.0,-437.55921989970005,-33.901697430938945,2012-09-15,2012.707650273224
2012-10-15,2012.0,10.0,15.0,-432.21032769683507,5.348892202864988,2012-10-15,2012.7896174863388
2012-11-15,2012.0,11.0,15.0,-417.05963586920143,15.150691827633624,2012-11-15,2012.8743169398906
2012-12-15,2012.0,12.0,15.0,-412.28290259475347,4.776733274447963,2012-12-15,2012.9562841530055
2013-01-15,2013.0,1.0,15.0,-397.397013155522,14.885889439231462,2013-01-15,2013.0409836065573
2013-02-15,2013.0,2.0,15.0,-403.410296530673,-6.013283375150991,2013-02-15,2013.1256830601094
2013-03-15,2013.0,3.0,15.0,-396.616864547616,6.793431983057019,2013-03-15,2013.2021857923498
2013-04-15,2013.0,4.0,15.0,-391.3745139355336,5.242350612082333,2013-04-15,2013.2868852459017
2013-05-15,2013.0,5.0,15.0,-388.5359519191616,2.838562016372009,2013-05-15,2013.3688524590164
2013-06-15,2013.0,6.0,15.0,-377.13122025082566,11.404731668335955,2013-06-15,2013.4535519125684
2013-07-15,2013.0,7.0,15.0,-369.82030218586766,7.310918064958003,2013-07-15,2013.535519125683
2013-08-15,2013.0,8.0,15.0,-403.32190064414726,-33.50159845827961,2013-08-15,2013.620218579235
2013-09-15,2013.0,9.0,15.0,-437.2235980750862,-33.901697430938945,2013-09-15,2013.704918032787
2013-10-15,2013.0,10.0,15.0,-449.0758098322232,-11.852211757136956,2013-10-15,2013.7868852459017
2013-11-15,2013.0,11.0,15.0,-456.66996795199213,-7.594158119768963,2013-11-15,2013.8715846994535
2013-12-15,2013.0,12.0,15.0,-451.89323467754417,4.776733274447963,2013-12-15,2013.9535519125684
2014-01-15,2014.0,1.0,15.0,-422.70267617287817,29.190558504666,2014-01-15,2014.0409836065573
2014-02-15,2014.0,2.0,15.0,-404.5853040822902,18.117372090587992,2014-02-15,2014.1256830601094
2014-03-15,2014.0,3.0,15.0,-412.1639042235252,-7.578600141235054,2014-03-15,2014.2021857923498
2014-04-15,2014.0,4.0,15.0,-443.2919123119942,-31.128008088469016,2014-04-15,2014.2868852459017
2014-05-15,2014.0,5.0,15.0,-438.5495222755082,4.742390036486029,2014-05-15,2014.3688524590164
2014-06-15,2014.0,6.0,15.0,-423.51575127056424,15.033771004943958,2014-06-15,2014.4535519125684
2014-07-15,2014.0,7.0,15.0,-431.5194662913742,-8.003715020809977,2014-07-15,2014.535519125683
2014-08-15,2014.0,8.0,15.0,-459.1057831263309,-27.58631683495667,2014-08-15,2014.620218579235
2014-09-15,2014.0,9.0,15.0,-505.9987116023029,-46.89292847597199,2014-09-15,2014.704918032787
2014-10-15,2014.0,10.0,15.0,-518.0977769760499,-12.09906537374701,2014-10-15,2014.7868852459017
2014-11-15,2014.0,11.0,15.0,-513.9551130139953,4.142663962054655,2014-11-15,2014.8715846994535
2014-12-15,2014.0,12.0,15.0,-509.1783797395473,4.776733274447963,2014-12-15,2014.9535519125684
2015-01-15,2015.0,1.0,15.0,-494.2924903003159,14.885889439231462,2015-01-15,2015.0409836065573
2015-02-15,2015.0,2.0,15.0,-486.6325474181954,7.659942882120485,2015-02-15,2015.1256830601094
2015-03-15,2015.0,3.0,15.0,-478.19776992623633,8.43477749195904,2015-03-15,2015.2021857923498
2015-04-15,2015.0,4.0,15.0,-468.4046507813824,9.79311914485396,2015-04-15,2015.2868852459017
2015-05-15,2015.0,5.0,15.0,-479.74011826228633,-11.335467480903958,2015-05-15,2015.3688524590164
2015-06-15,2015.0,6.0,15.0,-488.75165487192936,-9.01153660964303,2015-06-15,2015.4535519125684
2015-07-15,2015.0,7.0,15.0,-515.4931386455247,-26.74148377359531,2015-07-15,2015.535519125683
2015-08-15,2015.0,8.0,15.0,-569.5781281032087,-54.084989457684,2015-08-15,2015.620218579235
2015-09-15,2015.0,9.0,15.0,-592.5372188470467,-22.959090743837976,2015-09-15,2015.704918032787
2015-10-15,2015.0,10.0,15.0,-592.400167319725,0.13705152732162773,2015-10-15,2015.7868852459017
2015-11-15,2015.0,11.0,15.0,-588.2575033576704,4.142663962054655,2015-11-15,2015.8715846994535
